chr	start	end	type	gene_name	distance_to_tss	name	score	strand	log2FoldChange	padj	significant	direction
chr1	20482140	20482583	Distal	MUL1	26011	Peak_657	376.452762680128	+	0.56905332215645	0.000993031652444164	FALSE	More accessible
chr1	20507733	20508122	Promoter	MUL1	418	Peak_654	466.978407313582	+	-0.232893502123581	0.00158572085642305	FALSE	Less accessible
chr1	20587681	20587979	Promoter	CDA	1405	Peak_4798	246.127778792288	+	-2.97662899348147	0.0137667269519065	TRUE	Less accessible
chr1	23748833	23749034	Distal	GALE	51948	Peak_5820	212.445643101819	+	1.05075121047983	0.00634079946628772	TRUE	More accessible
chr1	23791040	23791447	Gene_body	LOC105376860	2518	Peak_3955	120.353482582141	+	2.58674463588828	0.00299137352158536	TRUE	More accessible
chr1	23791345	23791561	Gene_body	LOC105376860	2213	Peak_3956	401.612323813606	+	-0.224002440084135	0.000478585731586685	FALSE	Less accessible
chr1	23793254	23793734	Promoter	LOC105376860	304	Peak_3954	492.624964355491	-	-2.08914794412376	0.00461154501695119	TRUE	Less accessible
chr1	23799991	23800144	Gene_body	GALE	790	Peak_5819	434.030557458755	-	-0.907890060060969	0.0149624547146261	FALSE	Less accessible
chr1	23800434	23800821	Promoter	GALE	347	Peak_5818	70.4356419388205	-	-1.68348314618057	0.00607310047317296	TRUE	Less accessible
chr1	24632037	24632397	Promoter	SRRM1	1029	Peak_7955	128.275328653399	+	-2.0166262095698	0.00771887782095	TRUE	Less accessible
chr1	24641415	24641617	Gene_body	SRRM1	8349	Peak_7956	145.171710720751	-	-1.43583954805217	0.0264101325450465	TRUE	Less accessible
chr1	24713046	24713533	Distal	SRRM1	79980	Peak_7958	323.715592315421	-	-2.260005384803	0.0136545242071385	TRUE	Less accessible
chr1	26018537	26018725	Promoter	EXTL1	1347	Peak_2149	224.412674224004	-	-2.10139677226285	0.0210407062177668	TRUE	Less accessible
chr1	26072471	26072829	Distal	EXTL1	52587	Peak_2151	164.685042400379	+	-1.19120803224145	0.000857687640729133	TRUE	Less accessible
chr1	26346334	26346726	Distal	UBXN11	27971	Peak_926	378.450100845657	+	0.534212559229877	0.0604252765656216	FALSE	More accessible
chr1	26992066	26992461	Promoter	TRNP1	1626	Peak_7988	161.179500620347	-	0.0372590083209699	2.8397078889439e-05	FALSE	More accessible
chr1	26999169	26999604	Gene_body	TRNP1	5477	Peak_7990	454.207575460896	-	-0.347807030813749	0.14108838413938	FALSE	Less accessible
chr1	27127557	27128045	Gene_body	SLC9A1	39424	Peak_6696	156.614104064647	-	1.35235598118941	0.0119088024970234	TRUE	More accessible
chr1	27166526	27166738	Promoter	SLC9A1	455	Peak_6694	65.8013046486303	-	-0.400381059302364	0.137335311900535	FALSE	Less accessible
chr1	27166700	27167042	Promoter	SLC9A1	281	Peak_6695	127.992792823352	-	1.24926533651929	1.84696563407553e-05	TRUE	More accessible
chr1	27416751	27417038	Gene_body	WASF2	73416	Peak_6925	423.729644692503	-	-1.59390571785038	0.00275312263447256	TRUE	Less accessible
chr1	27438989	27439184	Gene_body	WASF2	51178	Peak_6926	125.425868190359	+	1.57622273092919	0.395159160583013	FALSE	More accessible
chr1	27507407	27507803	Distal	WASF2	17240	Peak_6927	335.707312228624	+	0.120130472834197	0.00830627292708416	FALSE	More accessible
chr1	28157952	28158354	Gene_body	PTAFR	35984	Peak_8243	60.4680957971141	-	-0.545188526662783	0.0372632339116186	FALSE	Less accessible
chr1	32464411	32464743	Promoter	ZBTB8A	646	Peak_1102	494.748768152203	-	0.0138722560612495	0.207200872260487	FALSE	More accessible
chr1	32464522	32464682	Promoter	ZBTB8B	550	Peak_5506	401.802604540717	+	-0.801042124015726	0.0389091868400805	FALSE	Less accessible
chr1	32481950	32482258	Gene_body	ZBTB8B	16878	Peak_5508	242.149339674506	+	-0.166122533781422	0.00434765548477582	FALSE	Less accessible
chr1	32487996	32488482	Gene_body	ZBTB8B	22924	Peak_5509	424.501954508014	+	0.237812900507251	0.010219804282026	FALSE	More accessible
chr1	32637367	32637552	Distal	ZBTB8A	172310	Peak_1105	357.907053723466	+	1.35702072406056	0.00435648149052653	TRUE	More accessible
chr1	33079234	33079662	Promoter	AZIN2	1870	Peak_3056	404.166155389976	+	1.08071418770333	0.733631762617397	FALSE	More accessible
chr1	33111704	33111920	Gene_body	AZIN2	30600	Peak_3057	339.917606732342	+	-0.319174884303769	0.625725326558047	FALSE	Less accessible
chr1	33124469	33124888	Distal	AZIN2	43365	Peak_3059	496.185720141511	+	0.389336541485197	0.000139147693881858	FALSE	More accessible
chr1	33170774	33171238	Distal	AZIN2	89670	Peak_3060	260.126738622785	+	-0.458509569443074	1.69893381492915e-05	FALSE	Less accessible
chr1	33422262	33422484	Gene_body	PHC2	8833	Peak_1134	277.093783696182	-	-0.24476187174073	4.51562849942224e-05	FALSE	Less accessible
chr1	35640434	35640640	Gene_body	PSMB2	1092	Peak_2530	221.345051995013	-	2.46881962861903	0.03393176622428	TRUE	More accessible
chr1	35646581	35646871	Distal	PSMB2	5055	Peak_2532	340.080369566567	+	0.894910871477505	0.0184029582850868	FALSE	More accessible
chr1	35656068	35656284	Distal	PSMB2	14542	Peak_2531	310.839137481526	-	2.52228714046895	0.0410955849943683	TRUE	More accessible
chr1	36360584	36360806	Gene_body	STK40	25340	Peak_8251	335.085623536725	-	-0.979901963252643	0.0366178791935556	FALSE	Less accessible
chr1	37034035	37034344	Promoter	GRIK3	480	Peak_5379	112.216344079934	+	1.22763307729339	0.00120401884419844	TRUE	More accessible
chr1	37034038	37034428	Promoter	GRIK3	477	Peak_5378	479.701844637748	-	0.961341754206533	0.00110119794746861	FALSE	More accessible
chr1	37106694	37107169	Distal	LOC124904027	26795	Peak_7812	393.033025145996	-	-0.219805191860119	0.0592651853772113	FALSE	Less accessible
chr1	37109442	37109913	Distal	LOC124904027	24047	Peak_7813	232.80643663602	-	0.307044515439503	0.0548181632871507	FALSE	More accessible
chr1	37474056	37474422	Promoter	LOC107984942	348	Peak_8136	223.11449124245	+	2.55953189217551	0.000136582340656249	TRUE	More accessible
chr1	39592561	39592816	Distal	HEYL	47082	Peak_5794	337.750366970431	+	0.4281455220671	3.42361355230645e-05	FALSE	More accessible
chr1	39631406	39631838	Gene_body	HEYL	8237	Peak_5792	484.648018376902	+	-0.79521544938194	0.000285258433488354	FALSE	Less accessible
chr1	40827659	40828095	Distal	LOC124904157	36255	Peak_6892	217.712391319219	-	-0.530860529707519	0.0509668381581549	FALSE	Less accessible
chr1	40843416	40843916	Distal	LOC124904157	20498	Peak_6893	479.140158533119	-	1.82695779633608	0.0392251593634021	TRUE	More accessible
chr1	40856412	40856865	Distal	LOC124904157	7502	Peak_6894	251.686880772468	+	-0.342351520471411	0.0238306450590724	FALSE	Less accessible
chr1	42957108	42957270	Promoter	SLC2A1-DT	1941	Peak_196	156.424951436929	-	1.47907484085922	0.0097272328951181	TRUE	More accessible
chr1	42957154	42957631	Promoter	SLC2A1-DT	1895	Peak_195	289.596103166696	+	1.95256919376001	0.169141263993354	FALSE	More accessible
chr1	42972682	42973110	Gene_body	SLC2A1-DT	13633	Peak_198	269.313497177791	+	-1.02912413922026	0.00414132085236107	TRUE	Less accessible
chr1	43555724	43555883	Gene_body	PTPRF	30537	Peak_2022	330.276919086464	-	-0.267975520842113	0.303317472649729	FALSE	Less accessible
chr1	43672403	43672729	Distal	PTPRF	147216	Peak_2024	316.482128167991	-	-0.988872000553362	0.000125258393580799	FALSE	Less accessible
chr1	43975733	43975924	Gene_body	ATP6V0B	1246	Peak_6484	106.050479062833	-	-1.82887550778352	0.746359714212365	FALSE	Less accessible
chr1	43988330	43988752	Distal	ATP6V0B	13843	Peak_6485	281.801819498651	-	3.47548135188274	1.28991923300656e-05	TRUE	More accessible
chr1	44179388	44179828	Distal	DMAP1	34067	Peak_451	186.380372801796	+	-0.379230081444394	0.00230330993815014	FALSE	Less accessible
chr1	44212299	44212601	Promoter	DMAP1	1156	Peak_447	462.965214520227	+	-0.914150831395989	3.02421376735502e-05	FALSE	Less accessible
chr1	44799097	44799553	Promoter	PLK3	1280	Peak_2936	412.973146047443	+	-0.31031048736186	0.00544869122562778	FALSE	Less accessible
chr1	44816232	44816699	Distal	PLK3	15855	Peak_2940	63.2943467702717	-	3.14117478601609	0.00482408481118382	TRUE	More accessible
chr1	44833427	44833843	Gene_body	PTCH2	9826	Peak_4551	147.560050524771	-	-0.516492616345538	0.228948428083801	FALSE	Less accessible
chr1	44842859	44843331	Promoter	PTCH2	394	Peak_4550	321.276281529572	+	0.213971404428323	0.000625161312889792	FALSE	More accessible
chr1	44859864	44860084	Distal	PTCH2	16611	Peak_4552	348.234046506695	+	0.563508567509425	0.908574934856986	FALSE	More accessible
chr1	45029981	45030461	Distal	EIF2B3	43259	Peak_331	309.703703713603	-	1.6935074418197	0.0293087468017542	TRUE	More accessible
chr1	47204737	47205067	Distal	STIL	110155	Peak_2425	168.975699238945	+	0.239414792647777	0.00454363419334996	FALSE	More accessible
chr1	50167189	50167505	Distal	LOC105378711	153972	Peak_8462	191.22628881596	+	0.501023098628494	0.0695006866807584	FALSE	More accessible
chr1	50295888	50296126	Gene_body	LOC105378711	25273	Peak_8461	422.727927006781	+	-0.031803745076982	0.0372784232688136	FALSE	Less accessible
chr1	50320980	50321246	Promoter	LINC02808	212	Peak_5656	392.105776269455	-	0.274973953362029	1.29678941411143e-05	FALSE	More accessible
chr1	52404010	52404291	Promoter	PRPF38A	592	Peak_6473	111.922740994487	-	0.578123918184602	0.308269246200698	FALSE	More accessible
chr1	54841198	54841397	Distal	LOC124904184	45614	Peak_2250	145.093765098136	-	-0.395236858615661	0.323148541671329	FALSE	Less accessible
chr1	55135876	55136299	Gene_body	USP24	79502	Peak_7984	331.189704674762	+	1.02712240205916	0.00460693824552	TRUE	More accessible
chr1	56766699	56767057	Gene_body	FYB2	52997	Peak_4010	412.868614494801	-	1.15871498490947	0.018451607077755	TRUE	More accessible
chr1	58397914	58398246	Distal	OMA1	148888	Peak_6668	147.541090764571	-	-0.165267822582885	0.0270542312607635	FALSE	Less accessible
chr1	58407762	58408089	Distal	OMA1	139040	Peak_6670	193.746350856964	+	-1.75220585881607	0.0680362604259513	FALSE	Less accessible
chr1	58551366	58551593	Distal	OMA1	4564	Peak_6669	349.634829326533	-	0.271095340598657	0.052045402705227	FALSE	More accessible
chr1	62387206	62387457	Distal	USP1	49091	Peak_7463	365.387518936768	+	-0.677553879681175	0.00031445186247402	FALSE	Less accessible
chr1	62387604	62388036	Distal	USP1	48693	Peak_7464	171.809051674791	-	0.0645444969492856	0.0196963135229538	FALSE	More accessible
chr1	62447230	62447437	Gene_body	USP1	10933	Peak_7461	403.429246332962	-	-0.692673788515473	3.43113280984083e-05	FALSE	Less accessible
chr1	69432868	69433107	Promoter	LINC01758	387	Peak_2545	425.502966332715	-	0.717210753623203	0.170045480419358	FALSE	More accessible
chr1	69433265	69433425	Gene_body	LINC01758	10	Peak_2547	239.099504682235	-	-2.47677551675543	0.0002221074079266	TRUE	Less accessible
chr1	69476862	69477151	Distal	LINC01758	43607	Peak_2548	335.933940764517	-	-1.67553386835989	0.0143097191396391	TRUE	Less accessible
chr1	74508658	74508991	Gene_body	LRRC53	3953	Peak_2587	89.9266505148262	+	1.57393934789807	0.0216017195369117	TRUE	More accessible
chr1	74512348	74512847	Promoter	LRRC53	263	Peak_2586	420.226461370476	-	2.47820699960433	0.00693212879714556	TRUE	More accessible
chr1	74715670	74715922	Gene_body	CRYZ	17738	Peak_6094	273.389495047741	-	-1.79475337362478	0.0147738950805739	TRUE	Less accessible
chr1	78277078	78277322	Distal	PTGFR	26806	Peak_8526	494.393925310578	+	-0.899404070980256	0.00965645776380244	FALSE	Less accessible
chr1	78456377	78456854	Gene_body	PTGFR	152493	Peak_8525	151.582681026775	+	0.375119707486529	3.40949469374403e-05	FALSE	More accessible
chr1	85128686	85129118	Distal	SYDE2	73038	Peak_7525	379.415523214266	+	-1.92862139526488	0.265181923705673	FALSE	Less accessible
chr1	85164985	85165174	Gene_body	SYDE2	36739	Peak_7523	227.239921176806	-	-0.698212111459425	0.283475097082084	FALSE	Less accessible
chr1	85545072	85545242	Distal	LOC124900422	47208	Peak_5603	128.957339387853	+	0.164047143720483	0.00938519175399245	FALSE	More accessible
chr1	85618950	85619220	Distal	LOC124904208	42092	Peak_5531	378.597570373677	-	1.37695685439143	0.122865380471376	FALSE	More accessible
chr1	86386982	86387254	Distal	MIR7856	29295	Peak_751	286.405255855061	+	1.2464892583594	0.150885901924605	FALSE	More accessible
chr1	88641549	88642042	Distal	PKN2	42673	Peak_1618	236.664374056272	+	-1.2281083380714	0.00175980537021533	TRUE	Less accessible
chr1	88670489	88670680	Distal	PKN2	13733	Peak_1617	437.832436710596	-	-0.0538220564514184	0.0605746291581774	FALSE	Less accessible
chr1	89057274	89057611	Distal	GBP2	93182	Peak_6310	175.533276156057	+	-0.413314599491485	0.102652485894866	FALSE	Less accessible
chr1	89100534	89100709	Distal	GBP2	49922	Peak_6309	57.4912211857736	+	-1.68745885214396	0.000863403657460233	TRUE	Less accessible
chr1	89523592	89523968	Promoter	LRRC8B	1237	Peak_6598	189.247152057942	+	-2.79461305475129	0.0104016399975335	TRUE	Less accessible
chr1	99644997	99645365	Promoter	PALMD	1116	Peak_7178	438.245819497388	-	0.253304521526497	0.0223703564392275	FALSE	More accessible
chr1	99650814	99651014	Gene_body	PALMD	4701	Peak_7179	118.752480717376	+	0.838303111185222	0.0167707397743627	FALSE	More accessible
chr1	99736653	99736809	Distal	PALMD	90540	Peak_7181	296.755525143817	+	-0.556978994536426	0.174015566134247	FALSE	Less accessible
chr1	102809455	102809891	Gene_body	LOC112268286	44387	Peak_6402	403.357140382286	-	0.278302725085739	0.0103797113040462	FALSE	More accessible
chr1	102853547	102853843	Promoter	LOC112268286	295	Peak_6401	445.310835260898	+	1.10616348098916	0.0017275194559712	TRUE	More accessible
chr1	102902797	102903003	Distal	LOC112268286	48955	Peak_6405	141.713977325708	-	-0.438191783294543	0.0175590366117656	FALSE	Less accessible
chr1	108248798	108248990	Gene_body	NBPF4	24891	Peak_8806	212.53359724069	-	-2.18350230325338	1.10834720761943e-05	TRUE	Less accessible
chr1	109099797	109100178	Promoter	SCARNA2	396	Peak_3543	416.44735627342	+	-0.304045354584709	0.0750683288901155	FALSE	Less accessible
chr1	111253120	111253618	Distal	CHIA	37731	Peak_940	407.289093045983	-	-0.0374064774663017	0.0168469702046132	FALSE	Less accessible
chr1	111288887	111289345	Promoter	CHIA	1964	Peak_938	437.862095446326	+	-1.3377327663007	0.00462741037495434	TRUE	Less accessible
chr1	111290111	111290265	Promoter	CHIA	740	Peak_937	384.583368222229	-	-1.33676341806534	0.00375821893094107	TRUE	Less accessible
chr1	111319777	111320066	Gene_body	CHIA	28926	Peak_939	251.846669916995	+	-0.901744082920561	0.019591309398599	FALSE	Less accessible
chr1	111468454	111468919	Distal	C1orf162	5338	Peak_2849	309.189335652627	+	-0.879633596671912	0.0361308341355994	FALSE	Less accessible
chr1	111674920	111675106	Distal	INKA2	80904	Peak_2001	281.433574622497	-	1.25929970199501	0.00142138748845945	TRUE	More accessible
chr1	111755533	111756018	Promoter	INKA2	291	Peak_1997	314.361149386968	-	-0.442315332271042	0.00953750218865118	FALSE	Less accessible
chr1	112653651	112654103	Distal	MOV10	19490	Peak_3811	389.096221979708	-	-1.03999313149857	0.0210795430622296	TRUE	Less accessible
chr1	112674705	112674967	Gene_body	MOV10	1564	Peak_3809	392.897393379826	-	-1.42488638179733	0.0342484291180968	TRUE	Less accessible
chr1	112745011	112745476	Distal	TAFA3	26106	Peak_5237	99.7435787809081	-	-2.49329806581358	4.59927128999608e-05	TRUE	Less accessible
chr1	113661877	113662135	Gene_body	MAGI3	271362	Peak_4274	473.554130631965	-	-0.0480027512503018	0.0681175056459779	FALSE	Less accessible
chr1	113688001	113688383	Distal	MAGI3	297486	Peak_4275	492.042743950151	+	-0.223121969104152	0.0104038788755626	FALSE	Less accessible
chr1	114581390	114581789	Promoter	BCAS2	239	Peak_5054	317.079423530959	-	-0.512516856431851	0.0014994233049918	FALSE	Less accessible
chr1	114603504	114603926	Distal	BCAS2	21875	Peak_5057	147.19836092554	+	0.0718311402430802	0.0363514925178373	FALSE	More accessible
chr1	114613697	114614090	Distal	BCAS2	32068	Peak_5058	154.516684822738	-	0.637730726321031	0.0619527270921739	FALSE	More accessible
chr1	115687186	115687508	Gene_body	VANGL1	45216	Peak_697	107.482960564084	+	-0.468068232223395	1.64379176615304e-05	FALSE	Less accessible
chr1	116982193	116982596	Distal	CD101	19557	Peak_1070	348.32501844503	+	0.324828822504495	0.0151226608557627	FALSE	More accessible
chr1	117003621	117003937	Gene_body	CD101	1871	Peak_1069	454.834712808952	-	-0.255870544113816	0.000772903315816075	FALSE	Less accessible
chr1	117321452	117321898	Distal	LINC01525	49270	Peak_4030	436.46711059846	-	1.17504324690332	0.0239075831180438	TRUE	More accessible
chr1	119621882	119622340	Gene_body	ZNF697	26384	Peak_5422	64.7001317003742	+	-2.14286624367507	0.000912496995014241	TRUE	Less accessible
chr1	145833363	145833780	Distal	RNF115	9268	Peak_6526	371.426947345026	-	1.2746615573343	5.26145500825293e-05	TRUE	More accessible
chr1	145883618	145884039	Distal	GNRHR2	35395	Peak_6421	449.027396272868	+	-0.22156147877963	0.0685103736369172	FALSE	Less accessible
chr1	145930140	145930441	Distal	GNRHR2	11127	Peak_6422	148.076820839196	-	-0.919463080249664	0.00251484796311706	FALSE	Less accessible
chr1	146053508	146053988	Gene_body	LINC01719	942	Peak_6625	248.809541785158	-	0.541397736192836	0.000153258420486196	FALSE	More accessible
chr1	148038417	148038781	Promoter	RNVU1-7	499	Peak_6921	335.933792823926	-	0.0129015556423218	0.519357517795176	FALSE	More accessible
chr1	148079277	148079516	Promoter	PDE4DIPP1	1321	Peak_1446	260.539920034353	+	-0.787991493090381	0.00405268427710955	FALSE	Less accessible
chr1	148089841	148090034	Gene_body	PDE4DIPP1	9243	Peak_1447	396.63375087548	-	-0.421973157344163	0.456486460029216	FALSE	Less accessible
chr1	148170062	148170442	Distal	NBPF11	17740	Peak_2408	78.059405006934	-	0.831958607074312	7.79496680879299e-05	FALSE	More accessible
chr1	148404022	148404445	Gene_body	PDE4DIPP6	1506	Peak_416	165.937852673233	-	-3.00062824854486	0.00421570165370458	TRUE	Less accessible
chr1	148425141	148425633	Gene_body	PDE4DIPP6	22625	Peak_415	338.013972062618	-	0.71594924634521	1.71429533726371e-05	FALSE	More accessible
chr1	148551159	148551436	Distal	NOTCH2NLB	128587	Peak_3871	342.082102783024	-	0.00694265714764287	0.00762163741058303	FALSE	More accessible
chr1	148679375	148679724	Promoter	NOTCH2NLB	371	Peak_3867	346.588636899833	-	-0.211276658233667	0.00360182137262423	FALSE	Less accessible
chr1	148679426	148679832	Promoter	NOTCH2NLB	320	Peak_3868	344.635745347478	-	-0.497453268338846	6.54984528667819e-05	FALSE	Less accessible
chr1	149012598	149012959	Distal	NBPF9	90963	Peak_3892	419.971568533219	-	0.101355863696183	0.58651470474339	FALSE	More accessible
chr1	149066626	149066860	Gene_body	NBPF9	36935	Peak_3890	162.71594024729	-	-1.3269907182928	0.673384136179304	FALSE	Less accessible
chr1	149103283	149103759	Promoter	NBPF9	278	Peak_3887	491.215983510483	-	0.538413484720768	0.00529090323070996	FALSE	More accessible
chr1	149830961	149831278	Promoter	H4C14	1696	Peak_1211	274.749281874392	-	1.1880677196994	0.00462261126558296	TRUE	More accessible
chr1	149851015	149851479	Promoter	H3C15	1593	Peak_3207	377.388238813728	-	1.3027447204328	0.00162613003754714	TRUE	More accessible
chr1	149851316	149851679	Promoter	H3C15	1292	Peak_3206	267.208450299222	-	-1.55349623127191	0.390313354085504	FALSE	Less accessible
chr1	149875264	149875612	Distal	H4C14	42607	Peak_1213	420.79368843697	+	1.59625646911673	0.0177221430275356	TRUE	More accessible
chr1	149934134	149934340	Gene_body	MTMR11	2745	Peak_2032	124.589416803792	-	1.03559345223961	0.028595523231104	TRUE	More accessible
chr1	149936461	149936769	Promoter	MTMR11	418	Peak_2030	157.245092268568	-	0.77829389145326	0.0118331435053609	FALSE	More accessible
chr1	149936598	149936954	Promoter	MTMR11	281	Peak_2031	142.580845905468	-	0.948852270658139	0.0187078397268429	FALSE	More accessible
chr1	149941072	149941409	Distal	MTMR11	4193	Peak_2034	138.718810782302	+	-0.559245824543908	0.0234407443487784	FALSE	Less accessible
chr1	150131739	150132078	Gene_body	VPS45	64460	Peak_2660	242.663139547221	-	-1.67580463350966	0.0253634676520713	TRUE	Less accessible
chr1	150255379	150255813	Promoter	CA14	1872	Peak_2385	109.783723100554	+	-0.033160630312845	0.0661159531011259	FALSE	Less accessible
chr1	150255936	150256334	Promoter	CA14	1315	Peak_2386	313.101711438503	+	3.53617001609856	0.00241583731937616	TRUE	More accessible
chr1	150264006	150264285	Gene_body	CA14	6755	Peak_2387	298.973708122503	-	0.644330412774038	4.49179727244193e-05	FALSE	More accessible
chr1	150269020	150269406	Promoter	APH1A	283	Peak_4054	205.518037849106	+	1.53120240480548	0.00263379292199388	TRUE	More accessible
chr1	150295296	150295548	Distal	APH1A	25993	Peak_4057	334.80727939168	-	-0.367647282225517	0.0515764993611025	FALSE	Less accessible
chr1	150883734	150883961	Distal	SETDB1	42529	Peak_1265	237.145854881965	-	-0.891019401751174	0.025346292374609	FALSE	Less accessible
chr1	150888464	150888910	Distal	SETDB1	37799	Peak_1263	207.531267264858	+	-0.538421073632881	0.00381078388530295	FALSE	Less accessible
chr1	150925403	150925767	Promoter	SETDB1	860	Peak_1261	151.091258425731	-	-1.68455287855573	0.0107912495405413	TRUE	Less accessible
chr1	151050221	151050555	Gene_body	C1orf56	2470	Peak_5746	218.550668808166	+	-0.447258384618131	0.00134366301777888	FALSE	Less accessible
chr1	151069529	151069792	Distal	C1orf56	21778	Peak_5749	342.992977821268	+	0.0691538442180443	0.00184825348467168	FALSE	More accessible
chr1	151084615	151084790	Distal	BNIPL	48294	Peak_2994	101.081718609203	+	-0.570646099821892	0.0353877326275501	FALSE	Less accessible
chr1	151527485	151527960	Promoter	LOC124900437	453	Peak_5620	372.451652190648	-	-0.364090914177039	0.000814274827617991	FALSE	Less accessible
chr1	151544341	151544827	Promoter	MIR554	1455	Peak_1328	476.374100940302	+	2.41756474031623	0.0176270035400521	TRUE	More accessible
chr1	151709137	151709525	Promoter	RIIAD1	1296	Peak_6852	475.735780561809	-	0.976790741298887	0.000201350844319054	FALSE	More accessible
chr1	151716720	151717141	Gene_body	RIIAD1	6287	Peak_6853	278.153064101934	+	0.250220991767056	0.00800756150557062	FALSE	More accessible
chr1	151771080	151771477	Distal	RIIAD1	60647	Peak_6855	366.285760770552	+	0.679219522425966	0.00315818859538855	FALSE	More accessible
chr1	151789621	151789957	Promoter	TDRKH-AS1	1183	Peak_5441	342.973787558731	+	0.478624009536417	0.746891425760302	FALSE	More accessible
chr1	151790557	151790746	Promoter	TDRKH-AS1	247	Peak_5442	186.761001416016	+	0.458282259170806	6.03048654594471e-05	FALSE	More accessible
chr1	151793514	151793965	Gene_body	TDRKH-AS1	2710	Peak_5443	155.834779853467	+	2.39337039831633	2.57867933409635e-05	TRUE	More accessible
chr1	152579632	152579952	Gene_body	LCE3D	884	Peak_2627	93.0398281780072	+	0.96602588118576	0.00966478369673714	FALSE	More accessible
