gene_id	gene_name	gene_description	chr	start	end	strand	baseMean	log2FoldChange	padj	significant	direction
9935	MAFB	MAF bZIP transcription factor B	chr20	40685848	40689236	-	643.57853958616	-0.0857680650157762	0.0113594742045181	FALSE	Down
1001	CDH3	cadherin 3	chr16	68644993	68727468	+	3131.81060064351	1.5748847210146	0.000397026952478111	TRUE	Up
10299	MARCHF6	membrane associated ring-CH-type finger 6	chr5	10353695	10440388	+	5008.63926957594	0.409920611200435	0.130268606531636	FALSE	Up
123688	HYKK	hydroxylysine kinase	chr15	78507564	78537372	+	9407.09029484307	0.580281255928232	0.107216961818116	FALSE	Up
57159	TRIM54	tripartite motif containing 54	chr2	27282429	27307439	+	6164.47305138223	1.01858750180727	0.172018019337309	FALSE	Up
112268216	LINC02856	long intergenic non-protein coding RNA 2856	chr18	9646110	9648502	+	9923.56529067969	0.601914342634068	0.311791770764886	FALSE	Up
338917	VSX2	visual system homeobox 2	chr14	74239449	74262738	+	9560.89933654293	-0.551813777224047	0.0182771393845357	FALSE	Down
101929298	LOC101929298	uncharacterized LOC101929298	chr3	97800732	97821923	-	4163.05329645751	-1.37678654169301	0.47334862376875	FALSE	Down
23432	GPR161	G protein-coupled receptor 161	chr1	168079542	168137667	-	1828.90198856127	0.0675343608788051	0.0079474949914826	FALSE	Up
105369937	LOC105369937	uncharacterized LOC105369937	chr12	101646720	101659970	-	5825.83678661147	-2.73942810819744	0.155551431900548	FALSE	Down
1045	CDX2	caudal type homeobox 2	chr13	27960918	27969315	-	2999.31669692509	2.38070892434156	9.43663622383185e-06	TRUE	Up
407024	MIR29B1	microRNA 29b-1	chr7	130877459	130877539	-	5215.9536305326	-0.406472892659927	0.000176583682749942	FALSE	Down
124901881	LOC124901881	uncharacterized LOC124901881	chr8	8665497	8669404	+	8926.21369416825	1.25475153742312	0.0001979741235304	TRUE	Up
100033415	SNORD116-3	small nucleolar RNA, C/D box 116-3	chr15	25056860	25056954	+	8731.92030066857	-3.26834758794262	0.000101406097986683	TRUE	Down
162989	DEDD2	death effector domain containing 2	chr19	42198598	42232149	-	3949.93064014707	-0.551368240712791	0.0160847768598192	FALSE	Down
84077	C3orf20	chromosome 3 open reading frame 20	chr3	14675141	14773036	+	460.350696293172	2.55915002786012	0.0122770478819357	TRUE	Up
8106	PABPN1	poly(A) binding protein nuclear 1	chr14	23321457	23326163	+	6199.0656052134	0.680992289061214	0.000462328390336249	FALSE	Up
23473	CAPN7	calpain 7	chr3	15206152	15252916	+	3162.71932148375	-1.22261420303166	0.000247994725563756	TRUE	Down
5315	PKM	pyruvate kinase M1/2	chr15	72199029	72231819	-	6812.49959020177	0.169251294869669	1.1070797246315e-05	FALSE	Up
100313837	MIR762	microRNA 762	chr16	30893903	30893985	+	3828.38785316329	0.807118101461603	0.000128904375358693	FALSE	Up
25928	SOSTDC1	sclerostin domain containing 1	chr7	16461481	16530580	-	9009.11182686454	1.0525564455797	0.0265906072104955	TRUE	Up
105378215	CTB-99A3.1	uncharacterized CTB-99A3.1	chr5	146563226	146617004	+	8931.79473913275	-1.49903221171974	0.00190459395688071	TRUE	Down
10672	GNA13	G protein subunit alpha 13	chr17	65009289	65056740	-	8206.0229604831	-1.89437454511841	3.95492085720849e-06	TRUE	Down
200810	ALG1L1P	ALG1 like 1, pseudogene	chr3	125928689	125990580	-	7251.32604409708	0.379123269142806	1.19236202949013e-05	FALSE	Up
200030	NBPF11	NBPF member 11	chr1	148102047	148152322	-	4841.75189482048	0.145215950577711	0.0210685125274325	FALSE	Up
653464	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C	chr1	121184811	121392874	+	1710.58117439505	-2.43363622336307	1.19243495494457e-05	TRUE	Down
85389	SNORD14C	small nucleolar RNA, C/D box 14C	chr11	123059335	123059422	-	995.720742905978	-0.595750679100324	0.00358292800000757	FALSE	Down
9607	CARTPT	CART prepropeptide	chr5	71719275	71721048	+	3726.77277681418	0.531314197931831	0.0493287945496302	FALSE	Up
255061	TAC4	tachykinin precursor 4	chr17	49838300	49848069	-	4689.29647702724	0.168945094145108	0.000397031658642943	FALSE	Up
23396	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	chr19	3630183	3700468	-	9495.47428882681	-0.969063505986891	1.97489215545907e-05	FALSE	Down
100652856	LINC00408	long intergenic non-protein coding RNA 408	chr13	18905419	18935554	+	7705.47766777221	0.595804554669199	9.82124834245936e-06	FALSE	Up
100126301	MIR509-2	microRNA 509-2	chrX	147258760	147258850	-	3065.52788803354	0.876611966203161	9.14249398485003e-05	FALSE	Up
105375298	LOC105375298	uncharacterized LOC105375298	chr7	57242681	57245931	+	8992.57385952398	0.173199408063002	1.80159003841836e-06	FALSE	Up
5447	POR	cytochrome p450 oxidoreductase	chr7	75899200	75986855	+	5832.46013261378	0.977573090196118	0.334561433092564	FALSE	Up
27036	SIGLEC7	sialic acid binding Ig like lectin 7	chr19	51142299	51153526	+	7472.70205466775	-1.06600310625638	1.56196986389042e-05	TRUE	Down
9123	SLC16A3	solute carrier family 16 member 3	chr17	82217934	82261129	+	9654.8252641689	0.0115229008688329	0.0809067812096052	FALSE	Up
100652865	LINC00539	long intergenic non-protein coding RNA 539	chr13	21302862	21362139	-	648.541753587779	1.64305305407724	0.655059909154577	FALSE	Up
100847060	MIR5701-1	microRNA 5701-1	chr15	20940252	20940333	+	6394.1055469797	0.541780469062137	0.0427885729790745	FALSE	Up
100048912	CDKN2B-AS1	CDKN2B antisense RNA 1	chr9	21994139	22128103	+	5506.72120258445	-0.559384807012002	0.0816713835009882	FALSE	Down
5672	PSG4	pregnancy specific beta-1-glycoprotein 4	chr19	43192702	43207299	-	5581.01972893812	-0.329882264293716	0.0814709814173368	FALSE	Down
105376127	LOC105376127	uncharacterized LOC105376127	chr9	87384846	87386629	-	1298.18204207812	-0.344777058756644	0.00195229487078369	FALSE	Down
51527	GSKIP	GSK3B interacting protein	chr14	96363452	96387288	+	1451.26996775623	1.53232020533928	0.0831224028511955	FALSE	Up
56929	FEM1C	fem-1 homolog C	chr5	115520908	115544775	-	3172.13141989894	-2.15109814827423	0.0254939542095982	TRUE	Down
7567	ZNF19	zinc finger protein 19	chr16	71464555	71565089	-	6855.45927583939	1.7542603232244	0.000460876027347122	TRUE	Up
102466876	MIR8068	microRNA 8068	chr11	28477481	28477548	-	1368.6304117227	1.61115319478757	0.0127592573252214	TRUE	Up
105369876	LINC02820	long intergenic non-protein coding RNA 2820	chr12	85318060	85342912	+	8949.91851416882	-0.452561461650139	0.000488497511736841	FALSE	Down
2068	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	chr19	45349837	45370918	-	9561.73937750049	0.911801586872349	0.000694660197084175	FALSE	Up
678655	CD27-AS1	CD27 antisense RNA 1	chr12	6439001	6451607	-	5708.99750188924	-0.503197814292644	1.53433128855277e-05	FALSE	Down
79781	IQCA1	IQ motif containing with AAA domain 1	chr2	236324147	236507535	-	4275.39380220929	1.24777958933035	0.0770417588219125	FALSE	Up
9604	RNF14	ring finger protein 14	chr5	141958328	141990292	+	4060.38548938464	-1.46920695527602	0.000118752242895596	TRUE	Down
23416	KCNH3	potassium voltage-gated channel subfamily H member 3	chr12	49539030	49558337	+	9686.89340602374	3.2462261164934	0.0181569934184453	TRUE	Up
222161	DKFZP586I1420	uncharacterized protein DKFZp586I1420	chr7	30371508	30372741	+	2578.72078511398	-0.219711446576723	0.847026648129497	FALSE	Down
728190	NUTM2A-AS1	NUTM2A antisense RNA 1	chr10	87189779	87342612	-	417.093515726738	-2.28860021067894	3.66650226759699e-05	TRUE	Down
105373684	LINC01818	long intergenic non-protein coding RNA 1818	chr2	150169474	150356460	+	4328.85669097304	-0.733371281118858	0.0960168809584777	FALSE	Down
107985307	LINC01705	long intergenic non-protein coding RNA 1705	chr1	222010825	222064773	-	2174.62589713279	-2.0885188221891	0.991542369391767	FALSE	Down
8462	KLF11	KLF transcription factor 11	chr2	10042849	10054836	+	8529.94550395291	1.87135957930462	4.87791741546849e-05	TRUE	Up
55735	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	chr1	6634168	6701924	-	7869.85151845496	-4.17696425858522	0.000474407765447885	TRUE	Down
102724700	LOC102724700	uncharacterized LOC102724700	chr4	151904932	151928710	-	5534.02530627092	-0.803471009053575	0.190997494205765	FALSE	Down
50487	PLA2G3	phospholipase A2 group III	chr22	31134807	31140508	-	2979.72227802267	-0.987756362332397	0.0770048655399951	FALSE	Down
105376562	LINC02548	long intergenic non-protein coding RNA 2548	chr11	13784017	13848002	+	9038.1576578645	-1.61871019057917	1.05482938081602e-06	TRUE	Down
286380	FOXD4L3	forkhead box D4 like 3	chr9	68302867	68305084	+	9764.9600029923	0.818175503697358	0.000172722266158307	FALSE	Up
10549	PRDX4	peroxiredoxin 4	chrX	23664262	23686397	+	8222.60425381828	0.463937356871225	9.21635518492643e-05	FALSE	Up
1132	CHRM4	cholinergic receptor muscarinic 4	chr11	46383789	46391776	-	2580.07701179013	-1.32997123891768	0.0408769521000458	TRUE	Down
102724834	LINC02822	long intergenic non-protein coding RNA 2822	chr12	90576402	90889917	+	3372.30366729898	-2.00047027334907	0.000448508806133163	TRUE	Down
9705	ST18	ST18 C2H2C-type zinc finger transcription factor	chr8	52110838	52460959	-	164.888100170065	-0.737207991249619	0.00508022195058813	FALSE	Down
342945	ZSCAN22	zinc finger and SCAN domain containing 22	chr19	58326994	58342332	+	2672.84160877345	-0.488291721374323	4.18448948684549e-06	FALSE	Down
9865	TRIL	TLR4 interactor with leucine rich repeats	chr7	28953358	28958330	-	4638.74758064281	3.04325409517326	3.13201436067374e-05	TRUE	Up
4761	NEUROD2	neuronal differentiation 2	chr17	39603768	39607920	-	6017.66024719458	0.270556876825839	0.0293812248670491	FALSE	Up
124902707	LOC124902707	actin, aortic smooth muscle-like	chr11	71382601	71423423	-	3461.90678085201	1.16952645697197	1.04937519584207e-05	TRUE	Up
8663	EIF3C	eukaryotic translation initiation factor 3 subunit C	chr16	28688558	28735727	+	6679.35608963715	0.620694847445453	0.0001273421765038	FALSE	Up
389741	GLIDR	glioblastoma down-regulated RNA	chr9	39709535	39810128	-	4455.45885487227	-0.856408998930379	8.00752131504765e-05	FALSE	Down
113451	AZIN2	antizyme inhibitor 2	chr1	33081104	33123492	+	1295.78242813237	0.0858085256247452	5.38247797338893e-05	FALSE	Up
205428	DIPK2A	divergent protein kinase domain 2A	chr3	143971823	144048719	+	2052.64236287912	-2.76955784424728	0.38311387477978	FALSE	Down
51094	ADIPOR1	adiponectin receptor 1	chr1	202940826	202958572	-	1918.80502769025	-0.31185453620381	0.000876070850818161	FALSE	Down
3419	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	chr15	78131498	78171945	+	2472.16777349357	1.42090343663385	1.18569168799383e-05	TRUE	Up
677824	SNORA17B	small nucleolar RNA, H/ACA box 17B	chr9	136726104	136726239	-	5307.74883658858	-4.04920798083083	0.273103056134189	FALSE	Down
124904983	LOC124904983	small nucleolar RNA U3	chr20	3384229	3384440	+	2147.58130515227	-0.644166158629512	0.0905492910207913	FALSE	Down
991	CDC20	cell division cycle 20	chr1	43358981	43363203	+	268.231903940905	-0.693358392979994	0.310848789188647	FALSE	Down
129530	LYG1	lysozyme g1	chr2	99284238	99304742	-	3426.60466413247	0.0607717072978857	1.06114429044025e-06	FALSE	Up
100529063	BCL2L2-PABPN1	BCL2L2-PABPN1 readthrough	chr14	23298790	23326175	+	3947.41138486424	-1.42527498258268	0.0303949208237031	TRUE	Down
107986837	LOC107986837	uncharacterized LOC107986837	chr7	113100663	113146330	+	1262.20563127659	-1.53999103858394	5.95914103739543e-06	TRUE	Down
124905594	LOC124905594	small nucleolar RNA U13	chr3	187423315	187423419	+	8245.91534619685	1.83039096204558	0.223914259267743	FALSE	Up
84269	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	chr2	112584240	112589275	+	8678.69921826525	1.88668291321998	4.45285631487998e-06	TRUE	Up
101927360	LINC01103	long intergenic non-protein coding RNA 1103	chr2	104488458	104510509	-	1847.88848516764	2.50073205623611	0.011231347336473	TRUE	Up
105373175	LOC105373175	uncharacterized LOC105373175	chrX	39138146	39299787	-	1903.87251790846	-3.80135271079223	1.60789831154749e-06	TRUE	Down
145946	SPATA8	spermatogenesis associated 8	chr15	96783389	96785615	+	2928.6385904206	1.97461692140748	3.21505587535366e-06	TRUE	Up
100616490	MIR4706	microRNA 4706	chr14	65044688	65044769	+	8997.08709212253	-0.312906084476109	0.00148062675103414	FALSE	Down
124905247	MSL3-DT	MSL3 divergent transcript	chrX	11668401	11757718	-	9015.40942660766	-0.305861046007766	0.00034748948638126	FALSE	Down
90874	ZNF697	zinc finger protein 697	chr1	119619377	119648266	-	738.617919920944	0.222389107626199	0.0459728261871091	FALSE	Up
4744	NEFH	neurofilament heavy chain	chr22	29480218	29491390	+	3396.96652745362	-1.3736255391033	0.0041669710080498	TRUE	Down
105377355	LINC02173	long intergenic non-protein coding RNA 2173	chr4	106433489	106453449	+	8003.69874370284	0.16725713997751	0.00653434773274557	FALSE	Up
128031833	LOC128031833	uncharacterized LOC128031833	chrX	63754284	63755070	-	2331.40820411267	-2.76261043784182	0.00011317049129076	TRUE	Down
2313	FLI1	Fli-1 proto-oncogene, ETS transcription factor	chr11	128686535	128813267	+	2739.09650268499	-1.23159891746967	4.97754103099436e-05	TRUE	Down
767610	SNORD114-29	small nucleolar RNA, C/D box 114-29	chr14	100990091	100990160	+	1100.02726902487	2.69018068243187	6.69383989142516e-05	TRUE	Up
78992	YIPF2	Yip1 domain family member 2	chr19	10922185	10928681	-	5527.79535527574	-0.13257864696337	2.80601216377169e-05	FALSE	Down
81793	TLR10	toll like receptor 10	chr4	38772238	38782990	-	7445.95473897411	-0.428326197113743	0.0267213555756345	FALSE	Down
107987164	LOC107987164	uncharacterized LOC107987164	chr11	112165197	112172606	-	7779.21116519254	0.442904389457731	0.000839982946007058	FALSE	Up
51135	IRAK4	interleukin 1 receptor associated kinase 4	chr12	43758944	43798307	+	3631.98088055244	-0.0991740636386775	0.120090702385497	FALSE	Down
105370546	LOC105370546	uncharacterized LOC105370546	chr14	68125004	68130196	-	1803.56372715905	-0.312751116583412	0.000124330118511569	FALSE	Down
390082	OR52E5	olfactory receptor family 52 subfamily E member 5	chr11	5893208	5902730	+	6164.0571944043	-0.0853279659214344	3.56467709756372e-06	FALSE	Down
2995	GYPC	glycophorin C (Gerbich blood group)	chr2	126656133	126696667	+	5942.30802018428	1.9114078363312	7.37941707444763e-06	TRUE	Up
79685	SAP30L	SAP30 like	chr5	154445997	154461053	+	3732.46321253013	1.20429321151518	1.91225772140037e-06	TRUE	Up
57486	NLN	neurolysin	chr5	65722205	65871725	+	4826.95398939308	-0.171674188686984	0.0261484384421346	FALSE	Down
474354	LRRC18	leucine rich repeat containing 18	chr10	48883955	48939840	-	5137.28196524316	1.76382387954153	0.0123422283671928	TRUE	Up
284119	CAVIN1	caveolae associated protein 1	chr17	42402449	42423256	-	1325.34347724402	0.461646043415499	0.00011503346506484	FALSE	Up
25805	BAMBI	BMP and activin membrane bound inhibitor	chr10	28677510	28682932	+	7126.43193897791	-0.0954756797047168	0.404595247570892	FALSE	Down
26262	TSPAN17	tetraspanin 17	chr5	176647387	176659054	+	7182.12702475954	-0.979060485366217	0.66954495156599	FALSE	Down
79673	ZNF329	zinc finger protein 329	chr19	58126248	58155110	-	1029.85504182987	1.09696798236393	0.356992072676239	FALSE	Up
389400	GFRAL	GDNF family receptor alpha like	chr6	55327469	55402493	+	116.641870962922	0.918211404369034	0.000201366618861184	FALSE	Up
107985984	LOC107985984	uncharacterized LOC107985984	chr2	216395085	216399748	+	733.913684976287	1.26759262171698	6.36755105248369e-05	TRUE	Up
3765	KCNJ9	potassium inwardly rectifying channel subfamily J member 9	chr1	160081538	160090563	+	9387.68507797969	-2.0707745857428	7.72330937874109e-06	TRUE	Down
142678	MIB2	MIB E3 ubiquitin protein ligase 2	chr1	1615454	1630605	+	3360.92024892103	0.805974787375561	0.00620535357090236	FALSE	Up
360205	PRAC2	PRAC2 small nuclear protein	chr17	48723185	48724758	+	8843.30179168144	-2.30869665763888	3.04083683248023e-05	TRUE	Down
107984315	LOC107984315	uncharacterized LOC107984315	chr11	14698839	14700926	+	2492.60069820797	-1.33479139563998	0.00016939900497412	TRUE	Down
107984375	LOC107984375	uncharacterized LOC107984375	chr11	95038372	95039811	+	4206.64581096498	0.244651835761672	0.00158685219667293	FALSE	Up
102466199	MIR6825	microRNA 6825	chr3	127575266	127575331	-	8670.4139166954	-0.696183070268947	0.106457917343482	FALSE	Down
101927688	SEPTIN4-AS1	SEPTIN4 antisense RNA 1	chr17	58519837	58557799	+	3334.39246369526	0.34616535372427	2.64444996435471e-05	FALSE	Up
100616243	MIR4759	microRNA 4759	chr21	26953961	26954043	+	4933.36547454819	-1.18902340101696	1.14683649808807e-06	TRUE	Down
105376196	LOC105376196	uncharacterized LOC105376196	chr9	104927553	104928892	+	6360.49363948405	-4.2649093994566	1.70875980172103e-06	TRUE	Down
25876	SPEF1	sperm flagellar 1	chr20	3777504	3781448	-	549.520566181745	0.781111447822752	0.00388223856686428	FALSE	Up
23242	COBL	cordon-bleu WH2 repeat protein	chr7	51016212	51316818	-	3143.90437041642	1.56883302807818	0.00152056364285585	TRUE	Up
647589	ANHX	anomalous homeobox	chr12	133218312	133235877	-	786.823404969182	2.96031967533034	0.0280777803856932	TRUE	Up
